ply	move	san	onMove	net-r3.static	net-r3.search	net-r3.depth	net-relab4-d5.static	net-relab4-d5.search	net-relab4-d5.depth
0	1	d4	w	0.11	0.39	5	0.29	0.59	5
1	1	b6	b	0.31	0.18	4	0.40	0.23	4
2	2	e4	w	1.41	0.53	4	0.11	0.06	4
3	2	g6	b	0.65	0.49	4	-0.60	-0.33	4
4	3	e5	w	0.99	0.80	3	-0.06	-0.43	4
5	3	c6	b	0.72	0.62	4	-0.23	-0.35	4
6	4	a3	w	0.93	0.85	3	-0.46	-0.79	4
7	4	b5	b	0.88	0.39	4	-0.66	-1.19	4
8	5	c3=B	w	1.51	0.79	3	-0.70	-0.78	4
9	5	g5=N	b	0.83	0.71	4	-0.67	-1.02	4
10	6	h4	w	1.01	0.89	4	-1.83	-1.01	4
11	6	Ne6	b	0.92	1.22	4	-1.21	-1.10	4
12	7	h5=N	w	0.54	0.42	4	-1.53	-0.48	4
13	7	a6	b	1.15	0.97	4	-2.47	-1.18	4
14	8	f4	w	1.05	1.11	4	-1.67	-0.55	4
15	8	h6=N	b	1.11	1.15	4	-1.91	-0.53	5
16	9	b3=B	w	1.23	1.00	4	-0.83	-0.53	4
17	9	Nf5	b	1.12	0.01	4	-2.74	-2.27	4
18	10	Bxe6	w	0.69	-0.05	4	-1.37	-1.34	4
19	10	dxe6	b	3.17	0.60	5	1.99	-0.89	5
20	11	Kd2	w	1.20	0.60	4	0.11	-0.53	4
21	11	a5	b	0.01	0.71	4	-2.72	-1.94	4
22	12	g4	w	0.08	1.06	5	-1.23	-0.53	5
23	12	Nh4	b	-0.41	1.16	5	-2.74	0.61	5
24	13	Bxa5	w	0.69	1.35	5	-1.48	1.08	5
25	13	Ng2=R+	b	1.02	1.35	4	0.07	1.08	4
26	14	Kd1	w	1.71	2.14	4	1.54	1.75	5
27	14	Rxg4	b	1.26	1.81	4	-1.01	0.22	4
28	15	Bb6	w	1.15	1.49	4	2.22	0.58	4
29	15	Rh4	b	2.20	1.60	5	-0.14	0.06	5
30	16	Ng3	w	3.10	1.60	4	1.74	0.06	4
31	16	Rxf4	b	1.83	1.57	5	0.35	-1.17	5
32	17	Nh5	w	1.17	2.16	4	0.12	0.07	4
33	17	Rh4	b	0.48	2.07	4	-2.28	-0.49	4
34	18	Ng3=R	w	2.26	1.58	4	0.41	-0.11	4
35	18	Rh5→Bh5+	b	1.60	1.52	4	-0.97	-0.30	4
36	19	Kc1	w	3.20	2.36	4	-1.67	-0.55	5
37	19	f6	b	1.54	2.00	4	-1.87	0.12	5
38	20	Rg8+	w	3.98	+M	4	1.02	+M	4
39	20	Kf7	b	2.01	+M	4	-0.74	+M	4
40	21	Bd8=R	w	3.60	+M	3	-0.18	+M	3
41	21	f5=B	b	2.52	+M	2	-0.65	+M	2
42	22	Rdf8#	w	1.37	+M	1	-3.62	+M	1
43	22		b	0.48	+M	1	-3.69	+M	1
